Edad;Sexo;Valor;Data;Tipo
44 años;Hombres;58847;Absolutos;Extranjeros
45 años;Hombres;56130;Absolutos;Extranjeros
46 años;Hombres;53658;Absolutos;Extranjeros
47 años;Hombres;49521;Absolutos;Extranjeros
48 años;Hombres;47740;Absolutos;Extranjeros
49 años;Hombres;44143;Absolutos;Extranjeros
50 años;Hombres;43744;Absolutos;Extranjeros
51 años;Hombres;40424;Absolutos;Extranjeros
52 años;Hombres;38823;Absolutos;Extranjeros
53 años;Hombres;35422;Absolutos;Extranjeros
54 años;Hombres;31623;Absolutos;Extranjeros
55 años;Hombres;29544;Absolutos;Extranjeros
56 años;Hombres;28436;Absolutos;Extranjeros
57 años;Hombres;26193;Absolutos;Extranjeros
58 años;Hombres;24642;Absolutos;Extranjeros
59 años;Hombres;22000;Absolutos;Extranjeros
60 años;Hombres;21871;Absolutos;Extranjeros
61 años;Hombres;19738;Absolutos;Extranjeros
62 años;Hombres;18692;Absolutos;Extranjeros
63 años;Hombres;17218;Absolutos;Extranjeros
64 años;Hombres;16390;Absolutos;Extranjeros
65 años;Hombres;15156;Absolutos;Extranjeros
66 años;Hombres;14497;Absolutos;Extranjeros
67 años;Hombres;13546;Absolutos;Extranjeros
68 años;Hombres;13056;Absolutos;Extranjeros
69 años;Hombres;11989;Absolutos;Extranjeros
70 años;Hombres;11618;Absolutos;Extranjeros
71 años;Hombres;10541;Absolutos;Extranjeros
72 años;Hombres;10283;Absolutos;Extranjeros
73 años;Hombres;9925;Absolutos;Extranjeros
74 años;Hombres;8953;Absolutos;Extranjeros
75 años;Hombres;7417;Absolutos;Extranjeros
76 años;Hombres;7473;Absolutos;Extranjeros
77 años;Hombres;6650;Absolutos;Extranjeros
78 años;Hombres;5959;Absolutos;Extranjeros
79 años;Hombres;5152;Absolutos;Extranjeros
80 años;Hombres;4782;Absolutos;Extranjeros
81 años;Hombres;4177;Absolutos;Extranjeros
82 años;Hombres;3603;Absolutos;Extranjeros
83 años;Hombres;2934;Absolutos;Extranjeros
84 años;Hombres;2396;Absolutos;Extranjeros
85 años;Hombres;1998;Absolutos;Extranjeros
86 años;Hombres;1603;Absolutos;Extranjeros
87 años;Hombres;1270;Absolutos;Extranjeros
88 años;Hombres;1053;Absolutos;Extranjeros
89 años;Hombres;846;Absolutos;Extranjeros
90 años;Hombres;692;Absolutos;Extranjeros
91 años;Hombres;473;Absolutos;Extranjeros
92 años;Hombres;375;Absolutos;Extranjeros
93 años;Hombres;281;Absolutos;Extranjeros
94 años;Hombres;200;Absolutos;Extranjeros
95 años;Hombres;142;Absolutos;Extranjeros
96 años;Hombres;91;Absolutos;Extranjeros
97 años;Hombres;69;Absolutos;Extranjeros
98 años;Hombres;49;Absolutos;Extranjeros
99 años;Hombres;24;Absolutos;Extranjeros
100 años y más;Hombres;51;Absolutos;Extranjeros
0 años;Mujeres;157483;Absolutos;Nacional
1 año;Mujeres;174277;Absolutos;Nacional
2 años;Mujeres;183049;Absolutos;Nacional
3 años;Mujeres;195979;Absolutos;Nacional
4 años;Mujeres;207518;Absolutos;Nacional
5 años;Mujeres;213358;Absolutos;Nacional
6 años;Mujeres;216189;Absolutos;Nacional
7 años;Mujeres;214996;Absolutos;Nacional
8 años;Mujeres;227261;Absolutos;Nacional
9 años;Mujeres;233401;Absolutos;Nacional
10 años;Mujeres;239300;Absolutos;Nacional
11 años;Mujeres;242613;Absolutos;Nacional
12 años;Mujeres;254262;Absolutos;Nacional
13 años;Mujeres;245434;Absolutos;Nacional
14 años;Mujeres;244710;Absolutos;Nacional
15 años;Mujeres;240799;Absolutos;Nacional
16 años;Mujeres;237862;Absolutos;Nacional
17 años;Mujeres;235253;Absolutos;Nacional
18 años;Mujeres;228123;Absolutos;Nacional
19 años;Mujeres;230380;Absolutos;Nacional
20 años;Mujeres;233104;Absolutos;Nacional
21 años;Mujeres;231729;Absolutos;Nacional
22 años;Mujeres;226587;Absolutos;Nacional
23 años;Mujeres;234153;Absolutos;Nacional
24 años;Mujeres;234626;Absolutos;Nacional
25 años;Mujeres;237715;Absolutos;Nacional
26 años;Mujeres;243141;Absolutos;Nacional
27 años;Mujeres;252863;Absolutos;Nacional
28 años;Mujeres;261476;Absolutos;Nacional
29 años;Mujeres;260652;Absolutos;Nacional
30 años;Mujeres;266348;Absolutos;Nacional
31 años;Mujeres;271973;Absolutos;Nacional
32 años;Mujeres;278081;Absolutos;Nacional
33 años;Mujeres;282217;Absolutos;Nacional
34 años;Mujeres;290425;Absolutos;Nacional
35 años;Mujeres;299948;Absolutos;Nacional
36 años;Mujeres;311245;Absolutos;Nacional
37 años;Mujeres;321290;Absolutos;Nacional
38 años;Mujeres;338689;Absolutos;Nacional
39 años;Mujeres;351977;Absolutos;Nacional
40 años;Mujeres;368269;Absolutos;Nacional
41 años;Mujeres;378481;Absolutos;Nacional
42 años;Mujeres;393378;Absolutos;Nacional
43 años;Mujeres;396312;Absolutos;Nacional
44 años;Mujeres;404222;Absolutos;Nacional
45 años;Mujeres;399814;Absolutos;Nacional
46 años;Mujeres;397907;Absolutos;Nacional
47 años;Mujeres;387116;Absolutos;Nacional
48 años;Mujeres;385974;Absolutos;Nacional
49 años;Mujeres;379894;Absolutos;Nacional
50 años;Mujeres;375224;Absolutos;Nacional
51 años;Mujeres;371896;Absolutos;Nacional
52 años;Mujeres;369625;Absolutos;Nacional
53 años;Mujeres;372530;Absolutos;Nacional
54 años;Mujeres;362957;Absolutos;Nacional
55 años;Mujeres;361240;Absolutos;Nacional
56 años;Mujeres;365851;Absolutos;Nacional
57 años;Mujeres;347611;Absolutos;Nacional
58 años;Mujeres;336572;Absolutos;Nacional
59 años;Mujeres;328620;Absolutos;Nacional
60 años;Mujeres;329515;Absolutos;Nacional
61 años;Mujeres;319916;Absolutos;Nacional
62 años;Mujeres;312230;Absolutos;Nacional
63 años;Mujeres;304854;Absolutos;Nacional
64 años;Mujeres;283877;Absolutos;Nacional
65 años;Mujeres;275161;Absolutos;Nacional
66 años;Mujeres;262725;Absolutos;Nacional
67 años;Mujeres;261469;Absolutos;Nacional
68 años;Mujeres;258450;Absolutos;Nacional
69 años;Mujeres;242480;Absolutos;Nacional
70 años;Mujeres;235717;Absolutos;Nacional
71 años;Mujeres;244496;Absolutos;Nacional
72 años;Mujeres;253851;Absolutos;Nacional
73 años;Mujeres;230589;Absolutos;Nacional
74 años;Mujeres;219527;Absolutos;Nacional
75 años;Mujeres;227212;Absolutos;Nacional
76 años;Mujeres;213406;Absolutos;Nacional
77 años;Mujeres;207939;Absolutos;Nacional
78 años;Mujeres;176093;Absolutos;Nacional
79 años;Mujeres;159986;Absolutos;Nacional
80 años;Mujeres;193413;Absolutos;Nacional
81 años;Mujeres;126277;Absolutos;Nacional
82 años;Mujeres;139031;Absolutos;Nacional
83 años;Mujeres;150860;Absolutos;Nacional
84 años;Mujeres;159249;Absolutos;Nacional
85 años;Mujeres;146195;Absolutos;Nacional
86 años;Mujeres;136925;Absolutos;Nacional
87 años;Mujeres;129527;Absolutos;Nacional
88 años;Mujeres;117881;Absolutos;Nacional
89 años;Mujeres;99995;Absolutos;Nacional
90 años;Mujeres;89652;Absolutos;Nacional
91 años;Mujeres;73395;Absolutos;Nacional
92 años;Mujeres;61240;Absolutos;Nacional
93 años;Mujeres;47473;Absolutos;Nacional
94 años;Mujeres;38466;Absolutos;Nacional
95 años;Mujeres;28924;Absolutos;Nacional
96 años;Mujeres;21844;Absolutos;Nacional
97 años;Mujeres;15611;Absolutos;Nacional
98 años;Mujeres;11339;Absolutos;Nacional
99 años;Mujeres;7349;Absolutos;Nacional
100 años y más;Mujeres;14036;Absolutos;Nacional
0 años;Mujeres;132638;Absolutos;Españoles
1 año;Mujeres;147333;Absolutos;Españoles
2 años;Mujeres;157482;Absolutos;Españoles
3 años;Mujeres;169603;Absolutos;Españoles
4 años;Mujeres;179885;Absolutos;Españoles
5 años;Mujeres;185715;Absolutos;Españoles
6 años;Mujeres;189193;Absolutos;Españoles
7 años;Mujeres;189316;Absolutos;Españoles
8 años;Mujeres;201793;Absolutos;Españoles
9 años;Mujeres;208832;Absolutos;Españoles
10 años;Mujeres;214616;Absolutos;Españoles
11 años;Mujeres;218464;Absolutos;Españoles
12 años;Mujeres;230702;Absolutos;Españoles
13 años;Mujeres;224130;Absolutos;Españoles
14 años;Mujeres;223899;Absolutos;Españoles
15 años;Mujeres;220384;Absolutos;Españoles
16 años;Mujeres;217027;Absolutos;Españoles
17 años;Mujeres;214341;Absolutos;Españoles
18 años;Mujeres;206079;Absolutos;Españoles
19 años;Mujeres;204940;Absolutos;Españoles
20 años;Mujeres;203567;Absolutos;Españoles
21 años;Mujeres;198621;Absolutos;Españoles
22 años;Mujeres;190356;Absolutos;Españoles
23 años;Mujeres;193539;Absolutos;Españoles
24 años;Mujeres;190836;Absolutos;Españoles
25 años;Mujeres;190012;Absolutos;Españoles
26 años;Mujeres;192076;Absolutos;Españoles
27 años;Mujeres;199124;Absolutos;Españoles
28 años;Mujeres;205339;Absolutos;Españoles
29 años;Mujeres;203405;Absolutos;Españoles
30 años;Mujeres;205636;Absolutos;Españoles
31 años;Mujeres;209398;Absolutos;Españoles
32 años;Mujeres;213683;Absolutos;Españoles
33 años;Mujeres;217534;Absolutos;Españoles
34 años;Mujeres;225230;Absolutos;Españoles
35 años;Mujeres;234846;Absolutos;Españoles
36 años;Mujeres;245981;Absolutos;Españoles
37 años;Mujeres;257036;Absolutos;Españoles
38 años;Mujeres;273975;Absolutos;Españoles
39 años;Mujeres;288483;Absolutos;Españoles
40 años;Mujeres;305469;Absolutos;Españoles
41 años;Mujeres;317989;Absolutos;Españoles
42 años;Mujeres;334976;Absolutos;Españoles
43 años;Mujeres;340983;Absolutos;Españoles
44 años;Mujeres;351487;Absolutos;Españoles
45 años;Mujeres;349796;Absolutos;Españoles
46 años;Mujeres;349926;Absolutos;Españoles
47 años;Mujeres;343090;Absolutos;Españoles
48 años;Mujeres;343072;Absolutos;Españoles
49 años;Mujeres;339216;Absolutos;Españoles
50 años;Mujeres;335369;Absolutos;Españoles
51 años;Mujeres;334067;Absolutos;Españoles
52 años;Mujeres;332397;Absolutos;Españoles
53 años;Mujeres;337706;Absolutos;Españoles
54 años;Mujeres;332217;Absolutos;Españoles
55 años;Mujeres;331742;Absolutos;Españoles
56 años;Mujeres;336948;Absolutos;Españoles
57 años;Mujeres;320197;Absolutos;Españoles
58 años;Mujeres;310794;Absolutos;Españoles
59 años;Mujeres;305034;Absolutos;Españoles
60 años;Mujeres;306116;Absolutos;Españoles
61 años;Mujeres;298180;Absolutos;Españoles
62 años;Mujeres;291581;Absolutos;Españoles
63 años;Mujeres;285253;Absolutos;Españoles
64 años;Mujeres;265358;Absolutos;Españoles
65 años;Mujeres;257671;Absolutos;Españoles
66 años;Mujeres;246091;Absolutos;Españoles
67 años;Mujeres;245900;Absolutos;Españoles
68 años;Mujeres;243493;Absolutos;Españoles
69 años;Mujeres;228940;Absolutos;Españoles
70 años;Mujeres;222364;Absolutos;Españoles
71 años;Mujeres;232234;Absolutos;Españoles
72 años;Mujeres;242326;Absolutos;Españoles
73 años;Mujeres;219444;Absolutos;Españoles
74 años;Mujeres;209469;Absolutos;Españoles
75 años;Mujeres;218964;Absolutos;Españoles
76 años;Mujeres;205359;Absolutos;Españoles
77 años;Mujeres;200849;Absolutos;Españoles
78 años;Mujeres;169662;Absolutos;Españoles
79 años;Mujeres;154423;Absolutos;Españoles
80 años;Mujeres;188041;Absolutos;Españoles
81 años;Mujeres;121749;Absolutos;Españoles
82 años;Mujeres;135150;Absolutos;Españoles
83 años;Mujeres;147574;Absolutos;Españoles
84 años;Mujeres;156288;Absolutos;Españoles
85 años;Mujeres;143885;Absolutos;Españoles
86 años;Mujeres;135011;Absolutos;Españoles
87 años;Mujeres;127882;Absolutos;Españoles
88 años;Mujeres;116463;Absolutos;Españoles
89 años;Mujeres;98854;Absolutos;Españoles
90 años;Mujeres;88594;Absolutos;Españoles
91 años;Mujeres;72541;Absolutos;Españoles
92 años;Mujeres;60624;Absolutos;Españoles
93 años;Mujeres;47025;Absolutos;Españoles
94 años;Mujeres;38099;Absolutos;Españoles
95 años;Mujeres;28662;Absolutos;Españoles
96 años;Mujeres;21635;Absolutos;Españoles
97 años;Mujeres;15463;Absolutos;Españoles
98 años;Mujeres;11229;Absolutos;Españoles
99 años;Mujeres;7271;Absolutos;Españoles
100 años y más;Mujeres;13917;Absolutos;Españoles
0 años;Mujeres;24845;Absolutos;Extranjeros
1 año;Mujeres;26944;Absolutos;Extranjeros
2 años;Mujeres;25567;Absolutos;Extranjeros
3 años;Mujeres;26376;Absolutos;Extranjeros
4 años;Mujeres;27633;Absolutos;Extranjeros
5 años;Mujeres;27643;Absolutos;Extranjeros
6 años;Mujeres;26996;Absolutos;Extranjeros
7 años;Mujeres;25680;Absolutos;Extranjeros
